id,last_name,birth_date,gender,ell,current_grade_level
1040,Huel,1999-06-29,F,false,12
1577,Harris,1999-08-07,F,false,11
168,Bayer,2001-02-14,M,false,10
289,Mayert,2001-12-05,M,true,9
568,Beahan,2002-07-29,F,false,9
1853,Lesch,2000-07-27,F,false,10
392,Sanford,2002-05-29,F,false,9
2666,Heaney,2002-10-21,M,false,9
1440,Waters,2002-02-01,M,false,9
1378,Blanda,1999-04-18,M,false,12
193,Zieme,1999-03-17,M,false,12
2610,Rice,2001-01-25,F,false,10
2299,Haag,2001-06-29,F,false,10
2435,Ratke,2002-09-09,M,false,9
39,Rice,2001-12-30,M,false,9
685,Boehm,2000-10-03,M,false,10
85,Rau,2002-04-10,F,false,9
436,Cruickshank,1998-08-08,F,false,12
2834,Mitchell,1998-12-27,F,false,12
713,Marquardt,2002-08-11,M,true,9
1880,Grant,2001-02-17,F,false,10
1252,Howe,2001-01-20,F,true,10
472,Ernser,1999-01-29,F,false,12
341,Robel,2001-05-01,F,false,10
596,Kshlerin,2001-08-21,F,true,9
2312,Larson,1999-10-17,F,false,12
37,Little,1999-01-01,F,false,12
2433,Mann,2000-10-29,F,false,10
2405,Kemmer,1999-04-24,F,false,12
1561,Larkin,1999-07-14,F,false,12
18,Daniel,2000-11-21,M,false,10
1572,Kautzer,2002-03-19,M,false,9
1971,Borer,2000-07-16,M,true,10
171,Gutmann,2000-03-10,M,false,11
1917,McDermott,1999-03-13,M,false,12
1706,Sporer,2000-05-01,F,false,11
1641,Fritsch,2002-03-09,M,false,9
244,Gutmann,2000-07-11,M,false,11
543,Rice,2002-02-07,F,false,9
1568,Kulas,2002-08-12,F,false,9
999,Ernser,2000-05-02,F,false,11
2096,Langworth,1998-07-25,M,false,12
2608,Littel,2000-07-08,F,false,11
613,Koepp,2002-10-26,F,false,9
1234,Langworth,1999-01-16,M,false,12
1034,Schinner,2001-05-07,M,false,10
1025,Vandervort,2000-12-25,M,false,10
1773,Stiedemann,2000-04-20,M,false,11
2523,Osinski,1998-11-16,F,false,12
283,O'Connell,1999-08-26,F,false,12
1595,Lockman,1999-06-02,M,false,12
1937,Fahey,2002-05-08,F,false,9
2745,West,1999-02-07,F,false,12
633,O'Connell,2002-07-03,M,false,9
2197,VonRueden,1999-04-30,F,true,12
2654,Gerhold,2002-05-13,NB,false,9
765,Schultz,2000-04-08,F,false,11
201,Lind,1998-08-16,M,false,12
2103,Ondricka,2001-05-08,M,false,10
1454,Steuber,1999-10-11,M,false,12
745,Wisoky,1999-11-08,F,true,11
2129,Macejkovic,2001-11-01,M,false,10
2971,Lang,1999-10-06,F,false,11
2957,Volkman,1999-09-11,F,false,12
1316,Schmitt,2002-10-24,M,false,9
442,Waelchi,2000-08-07,M,true,10
1637,Harvey,1999-09-03,M,false,12
2057,Kemmer,2002-07-18,F,false,9
1990,Herzog,1999-03-27,F,false,12
617,Sauer,2001-04-06,M,false,10
1703,Pollich,2001-07-21,M,false,9
1403,Fritsch,2001-08-29,M,false,9
565,Witting,1998-10-10,M,false,12
1055,Jaskolski,1999-03-27,F,false,12
2408,Dach,1999-08-04,F,false,11
485,Pfannerstill,1999-02-02,F,false,12
2361,King,1999-10-21,F,false,11
2292,Braun,2000-12-22,M,false,10
2735,Swift,2000-11-17,F,false,10
2324,Mitchell,2001-10-31,F,false,10
2541,Kreiger,1999-07-28,M,false,11
1591,Mosciski,1999-01-18,F,false,12
1543,Welch,2000-09-05,M,false,10
1387,Mitchell,2001-09-16,F,false,10
2546,Kuvalis,2000-07-05,F,false,10
2915,Ward,1999-11-21,M,false,11
1001,Bergnaum,2002-03-06,F,false,9
2657,Koepp,2001-09-13,M,false,9
810,Schmidt,2002-07-25,F,false,9
2817,Franecki,2001-10-22,M,false,10
1883,Thiel,2001-09-08,F,false,10
2649,Sipes,2001-11-21,M,false,9
1857,O'Hara,2000-06-01,M,false,11
1526,Cummings,2001-06-06,F,false,10
1980,Senger,1999-08-09,M,false,12
1673,Hackett,2002-06-26,F,false,9
1958,Bruen,1999-04-29,F,false,12
758,Farrell,2000-09-13,M,false,10
2800,Hahn,1999-07-08,F,true,12
2601,Roberts,2000-03-07,F,false,11
1086,Kunze,1999-10-23,F,false,11
210,Huels,2001-11-21,F,false,9
1469,Beatty,1998-09-22,M,false,12
2611,Schultz,2001-09-07,F,false,10
2173,Bode,1999-08-10,F,false,11
332,Aufderhar,1999-10-20,M,false,11
2398,Dare,2001-10-02,F,false,9
1924,Champlin,2000-09-03,M,false,11
128,Beatty,1999-10-06,F,false,11
535,Bernhard,2000-04-21,F,false,11
1241,Rice,2001-05-03,M,false,10
2372,O'Conner,2001-10-20,F,false,10
2964,Miller,1999-04-23,F,false,12
2470,Mueller,1998-09-03,F,false,12
2284,Hermiston,1998-11-04,M,false,12
214,Bartoletti,2001-09-30,F,false,9
1132,Hauck,1998-11-02,M,false,12
1227,Powlowski,2001-08-10,F,false,10
2866,Simonis,1999-01-19,F,false,12
2170,Trantow,2000-08-01,M,false,10
1134,Mann,1998-08-15,M,false,12
1023,Durgan,2001-04-17,M,false,10
1379,Weimann,2001-04-06,F,true,10
318,Monahan,2001-10-14,M,false,10
693,Lakin,2001-09-26,F,false,9
529,Schoen,2000-10-30,M,false,10
580,Hilll,1999-03-31,M,false,12
1545,Hermiston,1999-01-12,M,false,12
1767,Legros,2001-02-15,M,false,10
1969,Conn,2001-11-10,M,false,9
2589,Hagenes,1999-04-18,M,false,12
2305,Corwin,2000-09-08,F,false,10
1997,Beatty,1999-02-07,M,false,12
2988,Hansen,1999-08-19,F,false,11
1189,Rempel,2000-07-07,F,false,10
2146,Langosh,2000-08-09,F,false,11
2295,DuBuque,2001-10-01,M,false,9
2430,Ledner,1999-08-04,F,true,12
284,Gaylord,2000-10-28,M,false,11
1913,Okuneva,2001-01-27,F,false,10
2222,Moen,2000-04-29,F,false,11
878,Hessel,2002-09-02,M,false,9
1653,Lind,1998-09-27,M,false,12
2726,Johnson,2000-04-04,M,false,11
656,Keeling,2001-10-31,F,false,10
425,Gorczany,2002-01-20,F,false,9
109,Hermann,2002-02-04,M,false,9
905,Tromp,2000-06-05,F,false,11
2224,Hodkiewicz,1999-08-01,NB,false,11
744,Schamberger,1999-02-19,F,false,12
2183,Cremin,2000-02-12,F,false,11
2130,Sawayn,2001-02-16,F,false,10
556,Parisian,1999-09-11,F,false,11
2152,Hansen,1999-02-01,F,false,12
1261,Koepp,2000-08-03,M,false,11
384,Mueller,2002-05-04,M,false,9
1194,Upton,1999-11-16,M,false,11
2065,Thompson,2000-10-21,NB,false,10
1042,Jacobi,2001-06-24,M,false,10
2742,Daugherty,2000-08-05,M,false,10
1921,Maggio,1998-10-21,F,false,12
885,Bechtelar,2000-04-06,F,false,11
2778,Schulist,1998-11-03,M,false,12
786,Osinski,1998-09-05,F,false,12
2599,Blanda,1999-04-05,F,false,12
1848,Spencer,1999-08-14,F,true,12
1967,Hessel,1998-11-14,M,true,12
1062,Skiles,2001-04-07,F,false,10
2241,Medhurst,1999-12-07,F,false,11
1401,Bauch,1998-08-09,M,false,12
126,Orn,2000-07-27,F,false,10
1214,Johnson,1999-10-17,F,false,11
1265,Blanda,2000-12-15,M,false,10
213,Heathcote,1998-12-06,M,false,12
1149,Crona,1999-02-05,F,false,12
462,Parisian,1998-08-14,M,false,12
69,Terry,2000-09-21,M,false,10
2023,Oberbrunner,1999-12-25,M,false,11
1766,Brown,1999-07-15,F,false,12
1728,Zieme,1999-09-07,M,false,11
1498,Pfannerstill,2002-10-19,F,false,9
180,Hansen,2001-07-17,M,false,9
1992,Hansen,2002-02-05,M,false,9
225,Bosco,1999-05-18,M,false,12
536,Ziemann,2002-02-14,F,false,9
1262,Pfannerstill,1999-05-01,M,false,12
1267,Little,2000-06-20,F,false,11
2274,Harris,2000-09-20,M,false,10
687,Crona,1999-05-06,F,false,12
2581,Brekke,1999-09-04,M,false,11
1547,Oberbrunner,2000-01-04,M,false,11
669,Steuber,2000-09-03,F,true,11
1238,Stoltenberg,1999-03-24,F,false,12
949,Vandervort,1998-12-27,F,false,12
1014,Anderson,2002-03-08,F,false,9
1352,Schuppe,1999-01-03,F,false,12
1753,Hand,2002-06-21,M,false,9
2287,Christiansen,2002-08-17,F,false,9
2652,Hodkiewicz,2001-01-23,F,false,10
723,Abbott,2001-07-17,M,false,9
496,Orn,1999-07-09,M,true,12
2254,Williamson,2000-07-25,M,false,11
1242,Windler,2002-07-01,F,false,9
1752,Lowe,1999-03-31,F,false,12
2799,Trantow,2002-05-01,M,false,9
2841,Bashirian,1999-04-25,M,false,12
852,Keeling,2000-07-25,M,false,10
1722,Osinski,2002-04-23,M,false,9
1172,Wolf,2000-01-04,F,false,11
1256,Kerluke,2000-02-13,F,false,11
2864,Cummings,2000-09-21,F,false,11
2743,Bernhard,2000-11-11,M,false,10
144,Langosh,2002-10-15,F,false,9
1531,Miller,2002-08-27,M,false,9
1346,Anderson,2001-09-21,M,false,10
1718,Frami,2001-04-06,M,false,10
441,Roob,2000-12-03,F,false,10
233,Ferry,2000-04-18,M,false,11
2862,Abbott,2002-08-08,M,false,9
2669,Pollich,2001-09-29,M,false,10
2765,Gaylord,2001-07-09,F,false,9
1723,Hermann,2000-09-22,F,false,10
695,Vandervort,1999-07-06,F,false,11
2981,Graham,1998-10-09,M,false,12
2724,Powlowski,1998-10-02,F,false,12
983,Jenkins,1999-07-31,M,false,11
1215,Littel,2001-07-03,F,false,10
427,Bartoletti,2001-06-19,F,false,10
2849,Koss,2000-01-24,F,true,11
700,Conroy,2000-07-28,M,false,11
2702,Lubowitz,2000-08-15,M,false,10
2713,Ziemann,2002-08-12,M,false,9
1020,Kuhlman,2000-05-07,M,false,11
399,Schuppe,2000-06-15,M,false,11
1553,MacGyver,2002-04-07,M,false,9
1074,Schinner,1999-09-16,M,false,11
2202,Franecki,2002-01-17,F,false,9
1812,Gaylord,1998-09-06,M,false,12
2855,Koch,2000-03-22,F,false,11
1950,Bernhard,1999-09-19,M,false,11
1038,Shields,1999-11-07,F,false,11
203,Beahan,1999-06-06,F,false,12
2838,Dare,2001-04-29,F,false,10
721,Runte,1998-08-04,F,false,12
2972,Block,1998-10-20,M,false,12
2075,Homenick,2001-02-21,F,false,10
1,Stiedemann,2002-01-29,F,false,9
739,Gibson,2000-02-08,M,false,11
497,Gutmann,2001-10-22,M,false,10
1383,Davis,2000-08-30,M,false,11
2169,Monahan,1998-08-24,M,false,12
842,McClure,2001-05-18,M,false,10
781,Rodriguez,2002-03-04,M,false,9
1011,Feil,1998-12-20,F,false,12
2897,Marquardt,2002-05-21,M,false,9
155,Cummerata,2000-08-24,F,false,10
2940,Borer,2001-09-02,F,false,10
2954,Mueller,2001-11-07,M,false,9
2474,Mann,1999-03-25,M,false,12
382,Shanahan,2001-05-22,F,false,10
1607,Cummings,2000-06-30,NB,false,11
1365,Moore,1998-12-30,F,false,12
615,Farrell,2000-07-18,M,false,10
465,Bogan,2001-04-14,M,false,10
807,Marks,2001-01-12,F,true,10
527,Gottlieb,2002-05-15,F,true,9
2594,Bogan,2000-03-13,F,false,11
2469,Buckridge,2000-10-14,F,false,10
775,Lueilwitz,2002-02-21,M,false,9
2646,Schoen,2001-07-06,F,false,10
1976,Bode,1999-11-15,F,false,11
1716,Towne,2002-09-07,M,false,9
117,Gleason,2000-03-07,F,false,11
1332,Windler,2002-06-19,M,true,9
1159,Braun,2001-07-23,F,false,10
2607,White,2002-07-08,M,false,9
402,Auer,1998-11-04,M,false,12
490,Wintheiser,1998-11-14,F,false,12
919,Kuphal,2001-10-09,M,false,10
1904,Grady,1998-11-17,M,false,12
2218,Krajcik,2001-11-01,M,false,10
239,Hauck,2000-02-28,M,false,11
223,Carter,2000-07-14,F,false,11
843,Weissnat,2001-10-06,F,false,10
2001,Gislason,2000-01-27,F,false,11
310,Casper,1999-11-19,M,false,11
684,Adams,1999-07-15,M,false,11
938,Jerde,2002-05-19,F,false,9
1421,Kiehn,2001-07-04,M,false,9
607,Collins,2001-10-10,M,false,10
1070,Bode,2001-01-22,F,false,10
1675,Casper,2002-03-21,M,false,9
838,Leuschke,1999-02-27,M,false,12
1094,Bernier,2001-04-15,M,false,10
1823,Turcotte,2001-06-13,M,true,10
2968,Harris,2002-01-13,F,false,9
2582,Lesch,2001-02-10,F,false,10
2034,Windler,2000-09-09,F,false,11
2280,Mayert,1999-06-08,M,false,12
